Cluster,Occupation,Task Name,Task Description,Subtask
Architecture and Engineering,Aerospace Engineering and Operations Technologists and Technicians,Record test data parts assemblies mechanisms,"Record and interpret test data on parts, assemblies, and mechanisms.
Related occupations",Record test data parts assemblies mechanisms
Architecture and Engineering,Aerospace Engineering and Operations Technologists and Technicians,Record test data parts assemblies mechanisms,"Record and interpret test data on parts, assemblies, and mechanisms.
Related occupations",occupations
Architecture and Engineering,Aerospace Engineering and Operations Technologists and Technicians,Adjust repair replace components test setups equipment,"Adjust, repair, or replace faulty components of test setups and equipment.
Related occupations",Adjust repair replace components test setups equipment
Architecture and Engineering,Aerospace Engineering and Operations Technologists and Technicians,Adjust repair replace components test setups equipment,"Adjust, repair, or replace faulty components of test setups and equipment.
Related occupations",occupations
Architecture and Engineering,Aerospace Engineering and Operations Technologists and Technicians,Fabricate install parts systems tested test equipment using hand tools power tools test instruments,"Fabricate and install parts and systems to be tested in test equipment, using hand tools, power tools, and test instruments.
Related occupations",Fabricate install parts systems tested test equipment using hand tools power tools test instruments
Architecture and Engineering,Aerospace Engineering and Operations Technologists and Technicians,Fabricate install parts systems tested test equipment using hand tools power tools test instruments,"Fabricate and install parts and systems to be tested in test equipment, using hand tools, power tools, and test instruments.
Related occupations",occupations
Architecture and Engineering,Aerospace Engineering and Operations Technologists and Technicians,vehicle instrumentation deinstrumentation,"Finish vehicle instrumentation and deinstrumentation.
Related occupations",vehicle instrumentation deinstrumentation
Architecture and Engineering,Aerospace Engineering and Operations Technologists and Technicians,vehicle instrumentation deinstrumentation,"Finish vehicle instrumentation and deinstrumentation.
Related occupations",occupations
Architecture and Engineering,Aerospace Engineering and Operations Technologists and Technicians,Construct maintain test facilities aircraft parts systems according specifications,"Construct and maintain test facilities for aircraft parts and systems, according to specifications.
Related occupations",Construct maintain test facilities aircraft parts systems according specifications
Architecture and Engineering,Aerospace Engineering and Operations Technologists and Technicians,Construct maintain test facilities aircraft parts systems according specifications,"Construct and maintain test facilities for aircraft parts and systems, according to specifications.
Related occupations",occupations
Architecture and Engineering,Aerospace Engineering and Operations Technologists and Technicians,Design systems instrumentation applications,"Design electrical and mechanical systems for avionic instrumentation applications.
Related occupations",Design systems instrumentation applications
Architecture and Engineering,Aerospace Engineering and Operations Technologists and Technicians,Design systems instrumentation applications,"Design electrical and mechanical systems for avionic instrumentation applications.
Related occupations",occupations
Architecture and Engineering,Aerospace Engineering and Operations Technologists and Technicians,Exchange cooling system components vehicles,"Exchange cooling system components in various vehicles.
Related occupations",Exchange cooling system components vehicles
Architecture and Engineering,Aerospace Engineering and Operations Technologists and Technicians,Exchange cooling system components vehicles,"Exchange cooling system components in various vehicles.
Related occupations",occupations
